date_show,2023,2022,2021
2023-11-18,,91.52636999728674,142.32920599728678
2023-11-19,,91.52636999728674,142.32920599728678
2023-11-20,,92.69779086711,142.5011639380253
2023-11-21,,96.15239787360747,142.5011639380253
2023-11-22,,96.15239787360747,149.63288787360744
2023-11-23,,99.66626042124713,150.8949306768458
2023-11-24,,99.99230545934901,160.07989342124714
2023-11-25,,101.21090118935035,160.07989342124714
2023-11-26,,108.88422887040636,160.57360218935034
2023-11-27,,109.58258806401207,161.94122587040636
2023-11-28,,110.94823121988458,165.27827021988458
2023-11-29,,111.0487919032357,167.9127930559846
2023-11-30,,113.88444105598455,170.15112090323572
2023-12-01,,116.11686333240932,167.9127930559846
2023-12-02,,120.0447582981237,170.6873623324093
2023-12-03,,121.77708999511788,170.6873623324093
2023-12-04,,121.77708999511788,170.6873623324093
2023-12-05,,129.77596250153607,167.9127930559846
2023-12-06,,130.94790699967,179.78295237047885
2023-12-07,,132.57504919290926,179.78295237047885
2023-12-08,,139.9900454920972,182.5079393591609
2023-12-09,,139.9900454920972,187.13815803702792
2023-12-10,,144.59094056917337,182.9640600681124
2023-12-11,,148.34036535916084,182.9640600681124
2023-12-12,,150.0680300370279,187.13815803702792
2023-12-13,,153.05625806811236,187.13815803702792
2023-12-14,,156.15319625774723,187.13815803702792
2023-12-15,,156.15319625774723,189.33999056917335
2023-12-16,,161.26303421171997,188.68848670566962
2023-12-17,,165.92712165254335,189.68744943312748
2023-12-18,,165.92712165254335,189.68744943312748
2023-12-19,,161.26303421171997,188.68848670566962
2023-12-20,,157.93986925158714,188.68848670566962
2023-12-21,,155.60471680733576,188.68848670566962
2023-12-22,,141.86123885967746,188.68848670566962
2023-12-23,,137.94621980826128,187.4993008596775
2023-12-24,,132.98789890461265,178.0486858082613
2023-12-25,,111.68256568602888,178.0486858082613
2023-12-26,,101.61412092650959,173.89031452859757
2023-12-27,,101.61412092650959,153.04331219203084
2023-12-28,,101.61412092650959,149.49574979362376
2023-12-29,,101.61412092650959,144.14989537603012
2023-12-30,,101.61412092650959,135.39444722931168
2023-12-31,,101.61412092650959,127.09715992650958
